location,off_time,horse_name,jockey,trainer,trainer_win_pct,trainer_runs,age,distance_f,race_class,field_size,form_string,odds,status,going,distance,cd_winner,rp_or,rp_rpr,rp_ts
Clairefontaine,4:45,Seven Timer,Arthur Vilchien,S Cerulis,0.0,14.0,4.0,7.0,Class 3,11,-50000,20.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Lady Pink,D Santiago,Mme C Nicot,0.0,0.0,7.0,7.0,Class 3,11,635006,22.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,El Professor Chop,Alexis Pouchin,J Parize,0.0,8.0,6.0,7.0,Class 3,11,203254,25.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Kavakney,Costantino Carboni,J-M Plasschaert,0.0,1.0,10.0,7.0,Class 3,11,001423,27.5,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Clairefontaine,4:45,Whizalio,Mme Ambre Molins,A Sefiane,0.0,1.0,4.0,7.0,Class 3,11,080973,30.0,Active,Very Soft,6f211y,0,0.0,0.0,0.0
Ffos Las,2:10,Sixtygeesbaby,Luke Morris,David O'Meara,15.0,52.0,4.0,6.0,Class 5,6,508551,2.42,Active,Good,0m6f0y,0,73.0,0.0,0.0
Ffos Las,2:10,Safari Dream,Finley Marsh,Rod Millman,0.0,17.0,6.0,6.0,Class 5,6,417531,4.9,Active,Good,0m6f0y,0,72.0,0.0,0.0
Ffos Las,2:10,Army Bugler,Harry Vigors(5),Warren Greatrex,0.0,8.0,3.0,6.0,Class 5,6,2147-6,32.0,Active,Good,0m6f0y,0,72.0,0.0,0.0
Ffos Las,2:10,Alkuwarrior,Gina Mangan,Christopher Mason,0.0,4.0,3.0,6.0,Class 5,6,901575,11.5,Active,Good,0m6f0y,0,71.0,0.0,0.0
Ffos Las,2:10,Liosa,Oliver Carmichael(7),Zoe Hawkins,0.0,2.0,6.0,6.0,Class 5,6,0-4613,5.4,Active,Good,0m6f0y,0,67.0,0.0,0.0
Ffos Las,2:10,Pull The Rug,Robbie Downey,Grace Harris,14.0,14.0,3.0,6.0,Class 5,6,-74942,9.8,Active,Good,0m6f0y,0,68.0,0.0,0.0
Ffos Las,2:45,Sofian,Kieran O'Neill,Nikki Evans,0.0,1.0,4.0,7.5,Class 6,7,2-863R,23.0,Active,Good,0m7f80y,0,60.0,0.0,0.0
Ffos Las,2:45,Searchingtheblues,Rose Dawes(5),Mark Usher,9.0,11.0,4.0,7.5,Class 6,7,037830,19.0,Active,Good,0m7f80y,0,60.0,0.0,0.0
Ffos Las,2:45,Cypriot Diaspora,Jack Doughty,Rod Millman,0.0,17.0,5.0,7.5,Class 6,7,598632,6.0,Active,Good,0m7f80y,0,59.0,0.0,0.0
Ffos Las,2:45,Kaleidoscope Eyes,Robbie Downey,Bernard Llewellyn,0.0,7.0,4.0,7.5,Class 6,7,9-0431,7.8,Active,Good,0m7f80y,0,58.0,0.0,0.0
Ffos Las,2:45,Oviedo,Millie Wonnacott(5),Alexandra Dunn,50.0,2.0,6.0,7.5,Class 6,7,00-991,1.73,Active,Good,0m7f80y,0,49.0,0.0,0.0
Ffos Las,2:45,Green Icon,William Carson,John & Rhys Flint,11.0,9.0,4.0,7.5,Class 6,7,000807,34.0,Active,Good,0m7f80y,0,53.0,0.0,0.0
Ffos Las,2:45,Ravenglass,Joe Leavy,Adrian Wintle,25.0,4.0,7.0,7.5,Class 6,7,476246,19.0,Active,Good,0m7f80y,0,51.0,0.0,0.0
Ffos Las,3:20,Korbut,Luke Morris,Sir Mark Prescott Bt,21.0,24.0,3.0,7.5,Class 4,3,252222,1.61,Active,Good,0m7f80y,0,73.0,0.0,0.0
Ffos Las,3:20,Likeness,George Bass,Jack Channon,6.0,17.0,3.0,7.5,Class 4,3,622-45,5.2,Active,Good,0m7f80y,0,74.0,0.0,0.0
Ffos Las,3:20,Reader,Jack Doughty,Marcus Tregoning,17.0,6.0,3.0,7.5,Class 4,3,28-3,5.0,Active,Good,0m7f80y,0,69.0,0.0,0.0
Ffos Las,3:55,Medyg,Harry Vigors(5),Edward Smyth-Osbourne,0.0,4.0,3.0,7.5,Class 6,12,54-989,6.4,Active,Good,0m7f80y,0,55.0,0.0,0.0
Ffos Las,3:55,Willowinghurn,Joe Leavy,David O'Meara,15.0,52.0,3.0,7.5,Class 6,12,850568,5.4,Active,Good,0m7f80y,0,55.0,0.0,0.0
Ffos Las,3:55,Lady Fizz,Christian Howarth(3),Ismail Mohammed & Jose Santos,0.0,9.0,3.0,7.5,Class 6,12,8690,30.0,Active,Good,0m7f80y,0,55.0,0.0,0.0
Ffos Las,3:55,Gal,Luke Morris,Mark Loughnane,13.0,15.0,3.0,7.5,Class 6,12,8-3618,9.8,Active,Good,0m7f80y,0,52.0,0.0,0.0
Ffos Las,3:55,Iconic Dawn,Gina Mangan,Hughie Morrison,17.0,6.0,3.0,7.5,Class 6,12,50-074,7.4,Active,Good,0m7f80y,0,52.0,0.0,0.0
Ffos Las,3:55,Golden Mabel,Ben Ffrench Davis(5),Lisa Williamson,13.0,8.0,3.0,7.5,Class 6,12,578686,36.0,Active,Good,0m7f80y,0,52.0,0.0,0.0
Ffos Las,3:55,Diamond Ali,William Carson,Julia & Shelley Birkett,25.0,4.0,3.0,7.5,Class 6,12,277-71,5.2,Active,Good,0m7f80y,0,51.0,0.0,0.0
Ffos Las,3:55,Cougar Force,George Bass,Heather Main,0.0,3.0,3.0,7.5,Class 6,12,05-363,13.5,Active,Good,0m7f80y,0,47.0,0.0,0.0
Ffos Las,3:55,Follow My Heart,Ryan Kavanagh(3),Rod Millman,0.0,17.0,3.0,7.5,Class 6,12,946343,8.8,Active,Good,0m7f80y,0,46.0,0.0,0.0
Ffos Las,3:55,Arvana Belle,Jack Doughty,Rod Millman,0.0,17.0,3.0,7.5,Class 6,12,607354,18.0,Active,Good,0m7f80y,0,45.0,0.0,0.0
Ffos Las,3:55,Independent Angel,Millie Wonnacott(5),Lisa Williamson,13.0,8.0,3.0,7.5,Class 6,12,4-0047,50.0,Active,Good,0m7f80y,0,45.0,0.0,0.0
Ffos Las,3:55,Kaiko,Finley Marsh,Adrian Wintle,25.0,4.0,3.0,7.5,Class 6,12,596,140.0,Active,Good,0m7f80y,0,45.0,0.0,0.0
Ffos Las,4:30,A Rose Adaay,Ben Ffrench Davis(5),Grace Harris,14.0,14.0,4.0,10.0,Class 6,10,535334,11.5,Active,Good,1m2f0y,0,46.0,0.0,0.0
Ffos Las,4:30,Charencey,Joe Leavy,Ian Williams,5.0,37.0,6.0,10.0,Class 6,10,576223,4.3,Active,Good,1m2f0y,0,50.0,0.0,0.0
Ffos Las,4:30,City Escape,Kieran O'Neill,Nikki Evans,0.0,1.0,9.0,10.0,Class 6,10,-66556,14.5,Active,Good,1m2f0y,0,48.0,0.0,0.0
Ffos Las,4:30,Gert Lush,Gina Mangan,Roger Teal,17.0,12.0,9.0,10.0,Class 6,10,/72832,3.75,Active,Good,1m2f0y,0,50.0,0.0,0.0
Ffos Las,4:30,King Of The Dance,Donagh Murphy(7),Bernard Llewellyn,0.0,7.0,7.0,10.0,Class 6,10,452U36,19.0,Active,Good,1m2f0y,0,46.0,0.0,0.0
Ffos Las,4:30,Prophet Squeeze,Christian Howarth(3),Barry John Murphy,0.0,1.0,8.0,10.0,Class 6,10,707R97,29.0,Active,Good,1m2f0y,0,43.0,0.0,0.0
Ffos Las,4:30,Racing Demon,Luke Morris,Ed de Giles,0.0,5.0,6.0,10.0,Class 6,10,572574,7.4,Active,Good,1m2f0y,0,50.0,0.0,0.0
Ffos Las,4:30,Strong Man Tom,Ryan Kavanagh(3),Barry John Murphy,0.0,1.0,4.0,10.0,Class 6,10,6609,240.0,Active,Good,1m2f0y,0,23.0,0.0,0.0
Ffos Las,4:30,Typeface,Harry Vigors(5),Ian Williams,5.0,37.0,4.0,10.0,Class 6,10,7-6433,25.0,Active,Good,1m2f0y,0,50.0,0.0,0.0
Ffos Las,4:30,Elora Prince,Finley Marsh,Adrian Wintle,25.0,4.0,3.0,10.0,Class 6,10,489746,7.8,Active,Good,1m2f0y,0,47.0,0.0,0.0
Ffos Las,4:30,Lapidarist,Taryn Langley(5),David Simcock,0.0,8.0,3.0,10.0,Class 6,10,352642,10.5,Active,Good,1m2f0y,0,49.0,0.0,0.0
Ffos Las,5:02,Cogital,Donagh Murphy(7),Bernard Llewellyn,0.0,7.0,11.0,12.0,Class 6,10,83-953,16.5,Active,Good,1m3f209y,0,52.0,0.0,0.0
Ffos Las,5:02,Virtual Hug,Kieran O'Neill,Nikki Evans,0.0,1.0,8.0,12.0,Class 6,10,641344,7.0,Active,Good,1m3f209y,0,51.0,0.0,0.0
Ffos Las,5:02,Buck Barrow,Finley Marsh,Adrian Wintle,25.0,4.0,4.0,12.0,Class 6,10,067133,5.6,Active,Good,1m3f209y,0,51.0,0.0,0.0
Ffos Las,5:02,Master Dancer,Gina Mangan,Richard J Bandey,0.0,0.0,9.0,12.0,Class 6,10,-96308,18.5,Active,Good,1m3f209y,0,50.0,0.0,0.0
Ffos Las,5:02,Adrian,Harry Vigors(5),Bernard Llewellyn,0.0,7.0,9.0,12.0,Class 6,10,308-62,22.0,Active,Good,1m3f209y,0,50.0,0.0,0.0
